                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   2.06,                 2.0224,                 1.4983,                0.63575,                0.40543,                0.43711,                0.16904,                 1.4168,                 2.1211,                0.94925,             0.00087345,             0.00087345,             0.00087345
                     36,                  2.049,                 2.0132,                  1.487,                 0.6205,                0.39372,                0.43704,                0.17283,                 1.4056,                 2.4114,                 0.9446,             0.00083931,             0.00083931,             0.00083931
                     37,                 2.0575,                 2.0502,                 1.4849,                0.66672,                0.39667,                0.44594,                 0.1724,                 1.4307,                 1.9856,                0.95427,             0.00080517,             0.00080517,             0.00080517
                     38,                 2.0291,                 2.0384,                 1.4762,                0.63512,                 0.4028,                0.43216,                0.17466,                 1.4063,                 2.4404,                0.95019,             0.00077103,             0.00077103,             0.00077103
                     39,                 2.0403,                 1.9999,                 1.4944,                0.66027,                 0.4028,                0.44653,                0.18042,                 1.4033,                 2.1035,                0.93597,              0.0007369,              0.0007369,              0.0007369
                     40,                 2.0045,                 1.9282,                 1.4638,                0.63421,                0.40368,                0.44484,                0.18343,                 1.4269,                 2.1738,                0.95174,             0.00070276,             0.00070276,             0.00070276
                     41,                 2.0135,                 1.9794,                 1.4628,                0.64449,                0.40018,                 0.4455,                0.17469,                 1.4222,                 2.0806,                0.93044,             0.00066862,             0.00066862,             0.00066862
                     42,                 1.9886,                 1.9298,                 1.4443,                0.64633,                0.41331,                0.44574,                0.17143,                 1.4088,                 2.1564,                0.93839,             0.00063448,             0.00063448,             0.00063448
                     43,                 1.9879,                 1.9248,                 1.4443,                0.65455,                0.40815,                0.44999,                0.17953,                 1.3906,                 2.0474,                0.92359,             0.00060034,             0.00060034,             0.00060034
                     44,                  1.984,                 1.9142,                 1.4566,                0.64104,                0.40893,                0.45554,                0.18572,                 1.3887,                 1.9504,                0.94242,             0.00056621,             0.00056621,             0.00056621
                     45,                 1.9891,                 1.9222,                 1.4581,                 0.6541,                0.41397,                0.45693,                0.18229,                 1.3934,                  2.078,                0.93703,             0.00053207,             0.00053207,             0.00053207
                     46,                 1.9651,                 1.8922,                 1.4399,                0.66019,                 0.4151,                0.45181,                0.18062,                 1.3782,                 1.9911,                0.93469,             0.00049793,             0.00049793,             0.00049793
                     47,                  1.955,                  1.884,                 1.4465,                0.65303,                0.40806,                0.44485,                0.17754,                 1.3853,                 1.9746,                0.93208,             0.00046379,             0.00046379,             0.00046379
                     48,                 1.9474,                 1.8627,                 1.4302,                0.65254,                0.41506,                0.45308,                0.18177,                 1.3756,                 2.0296,                0.93109,             0.00042966,             0.00042966,             0.00042966
                     49,                 1.9312,                 1.8419,                 1.4523,                0.64482,                0.39755,                0.43785,                0.17544,                 1.4033,                 1.9782,                0.94179,             0.00039552,             0.00039552,             0.00039552
                     50,                 1.9162,                 1.8332,                 1.4402,                0.69885,                0.39405,                0.45046,                0.18328,                  1.395,                 1.9304,                0.93885,             0.00036138,             0.00036138,             0.00036138
                     51,                 1.8776,                 1.8075,                 1.4252,                0.65932,                0.41594,                0.45423,                 0.1847,                 1.3945,                 1.9599,                0.93736,             0.00032724,             0.00032724,             0.00032724
                     52,                 1.8781,                 1.7791,                 1.4296,                0.65024,                0.41838,                0.45965,                0.18407,                 1.3957,                 1.8826,                0.93707,              0.0002931,              0.0002931,              0.0002931
                     53,                 1.8563,                 1.7753,                 1.4092,                0.67181,                0.41068,                0.44996,                0.18145,                  1.389,                 1.9339,                0.92865,             0.00025897,             0.00025897,             0.00025897
                     54,                 1.8705,                 1.7766,                 1.4112,                 0.6508,                0.41419,                0.45592,                0.18207,                 1.3938,                 1.9465,                0.93545,             0.00022483,             0.00022483,             0.00022483
                     55,                 1.8504,                 1.7572,                 1.3986,                0.62089,                0.41681,                0.44908,                0.18189,                 1.3905,                 1.8535,                0.93307,             0.00019069,             0.00019069,             0.00019069
                     56,                 1.8461,                 1.7402,                 1.4022,                0.63616,                0.43082,                0.45996,                0.18356,                 1.3932,                 1.8629,                0.93806,             0.00015655,             0.00015655,             0.00015655
                     57,                 1.8474,                 1.7418,                 1.4059,                0.63577,                0.42797,                0.45334,                0.18436,                 1.4048,                 1.8211,                0.94406,             0.00012241,             0.00012241,             0.00012241
                     58,                 1.8403,                 1.7352,                 1.3947,                   0.66,                0.42156,                0.46122,                0.18434,                 1.3991,                 1.8082,                0.94009,             8.8276e-05,             8.8276e-05,             8.8276e-05
