                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0969,                 2.0878,                 1.5073,                0.62741,                0.34006,                0.37789,                 0.1613,                 1.6477,                 1.8351,                 1.1374,             0.00099477,             0.00099477,             0.00099477
                     35,                 2.0543,                 2.0219,                 1.5001,                0.64426,                0.35093,                0.40208,                0.17067,                 1.6038,                 1.7946,                 1.1012,             0.00096431,             0.00096431,             0.00096431
                     36,                 2.0725,                 2.0293,                 1.5021,                0.67301,                0.34783,                0.40121,                0.16866,                 1.6205,                 1.8649,                 1.0987,             0.00093385,             0.00093385,             0.00093385
                     37,                 2.0762,                 2.0644,                 1.5156,                0.64051,                0.35412,                0.41068,                0.17364,                 1.6145,                 1.7486,                 1.1117,             0.00090338,             0.00090338,             0.00090338
                     38,                 2.0565,                 2.0413,                 1.5042,                0.64211,                0.36801,                0.41527,                0.18043,                 1.6154,                 1.8185,                 1.0972,             0.00087292,             0.00087292,             0.00087292
                     39,                 2.0486,                 2.0019,                 1.5014,                0.66538,                0.35559,                0.41196,                 0.1762,                 1.6124,                 1.7654,                 1.1157,             0.00084246,             0.00084246,             0.00084246
                     40,                 2.0433,                 2.0045,                 1.4949,                0.66811,                0.35009,                0.41406,                0.18295,                 1.5938,                 1.6943,                 1.0819,               0.000812,               0.000812,               0.000812
                     41,                 2.0245,                 1.9963,                 1.4754,                0.67511,                0.35404,                0.40713,                 0.1694,                  1.615,                 1.8153,                 1.1021,             0.00078154,             0.00078154,             0.00078154
                     42,                  2.037,                 1.9917,                 1.4791,                0.63814,                0.37422,                 0.4186,                0.17873,                 1.6073,                  1.821,                 1.1062,             0.00075108,             0.00075108,             0.00075108
                     43,                 2.0172,                 1.9792,                 1.4708,                0.62767,                0.36909,                 0.4257,                0.18547,                 1.5849,                 1.7124,                  1.103,             0.00072062,             0.00072062,             0.00072062
                     44,                  2.005,                 1.9563,                  1.475,                0.62522,                0.39441,                0.43205,                0.18129,                 1.6112,                 1.6837,                 1.1135,             0.00069015,             0.00069015,             0.00069015
                     45,                 2.0024,                 1.9603,                 1.4533,                0.68184,                0.34783,                0.41724,                0.17985,                 1.6097,                 1.7138,                 1.0978,             0.00065969,             0.00065969,             0.00065969
                     46,                 1.9871,                 1.9092,                 1.4609,                0.70165,                0.35714,                0.42961,                0.17919,                 1.6139,                 1.7245,                 1.1124,             0.00062923,             0.00062923,             0.00062923
                     47,                 1.9912,                  1.921,                 1.4772,                0.75426,                0.33839,                0.42437,                0.17545,                  1.584,                 1.7317,                 1.0923,             0.00059877,             0.00059877,             0.00059877
                     48,                 1.9552,                 1.8715,                 1.4442,                0.67878,                0.36491,                0.42514,                 0.1766,                 1.6069,                 1.7034,                 1.0925,             0.00056831,             0.00056831,             0.00056831
                     49,                 1.9641,                 1.8642,                 1.4514,                0.71221,                0.37888,                0.44309,                0.18614,                 1.6073,                 1.7157,                   1.11,             0.00053785,             0.00053785,             0.00053785
                     50,                 1.9517,                 1.8626,                 1.4449,                0.63761,                0.37578,                 0.4251,                0.17723,                 1.6116,                 1.6613,                 1.0974,             0.00050738,             0.00050738,             0.00050738
                     51,                 1.9555,                 1.8335,                 1.4364,                0.67877,                0.36749,                0.43082,                0.17994,                 1.5948,                 1.7641,                 1.0889,             0.00047692,             0.00047692,             0.00047692
                     52,                 1.9496,                 1.8681,                 1.4377,                0.66696,                0.38249,                0.43467,                0.18287,                 1.5875,                 1.5792,                 1.0914,             0.00044646,             0.00044646,             0.00044646
                     53,                 1.9354,                 1.8676,                 1.4284,                0.63859,                0.38354,                0.43617,                0.18197,                 1.5923,                 1.6431,                 1.0932,               0.000416,               0.000416,               0.000416
                     54,                 1.9165,                 1.8377,                  1.419,                0.61751,                 0.3913,                0.43381,                0.17989,                 1.6075,                 1.7043,                 1.0932,             0.00038554,             0.00038554,             0.00038554
                     55,                 1.9073,                 1.7954,                 1.4203,                0.59001,                0.39752,                0.43518,                0.17698,                 1.6196,                 1.6652,                 1.1104,             0.00035508,             0.00035508,             0.00035508
                     56,                 1.8962,                 1.7925,                 1.4327,                 0.6304,                0.38199,                0.42858,                0.17866,                 1.6073,                 1.6722,                 1.1055,             0.00032462,             0.00032462,             0.00032462
                     57,                 1.8713,                 1.7684,                 1.4095,                0.66354,                0.37112,                0.43294,                0.18334,                 1.5983,                 1.6228,                 1.0941,             0.00029415,             0.00029415,             0.00029415
                     58,                  1.852,                  1.758,                 1.4143,                0.72703,                0.35559,                0.43261,                0.18351,                 1.6145,                 1.5931,                 1.1053,             0.00026369,             0.00026369,             0.00026369
                     59,                 1.8352,                 1.7477,                 1.4112,                0.69473,                0.36335,                0.43759,                0.18468,                 1.6029,                 1.6589,                 1.1032,             0.00023323,             0.00023323,             0.00023323
                     60,                 1.8454,                 1.7324,                 1.4127,                0.69091,                0.37422,                0.43383,                 0.1836,                 1.6034,                  1.679,                 1.1008,             0.00020277,             0.00020277,             0.00020277
                     61,                  1.828,                 1.7161,                 1.4041,                 0.6494,                0.40373,                0.44236,                0.18351,                 1.6082,                 1.6481,                 1.1091,             0.00017231,             0.00017231,             0.00017231
                     62,                 1.8094,                 1.6745,                 1.3965,                 0.6315,                0.39752,                0.43939,                0.18037,                 1.6057,                 1.6547,                 1.1111,             0.00014185,             0.00014185,             0.00014185
                     63,                 1.8164,                 1.6943,                 1.4031,                0.64794,                0.40994,                  0.441,                 0.1816,                 1.6105,                 1.6348,                 1.1166,             0.00011138,             0.00011138,             0.00011138
                     64,                 1.8265,                 1.7044,                 1.4022,                0.61629,                0.40403,                0.43463,                0.18158,                 1.6122,                 1.6633,                  1.115,             8.0923e-05,             8.0923e-05,             8.0923e-05
                     65,                 1.7854,                 1.6539,                 1.3876,                0.64544,                0.40217,                0.44215,                0.18353,                 1.6184,                 1.6648,                 1.1198,             5.0462e-05,             5.0462e-05,             5.0462e-05
